text,label
"Hey, how are you doing today?",simple
What does API stand for?,simple
Fix the typo in this sentence: 'She dont like apples.',simple
Translate 'Good morning' into French.,simple
"Convert this list to a Python list: Red, Green, Blue.",simple
What year was Python first released?,simple
What is the keyboard shortcut to undo in most applications?,simple
What does HTML stand for?,simple
Give me a one-line code comment explaining what a for loop does.,simple
What is the difference between a list and a tuple in Python?,simple
Write a simple bash command to list all files in a directory.,simple
Rename this variable from 'x' to 'total_count' in this line: x = 10,simple
What does the 'git status' command do?,simple
Generate a basic README template for a GitHub project.,simple
What is a REST API?,simple
Translate this Python print statement to JavaScript: print('Hello World'),simple
What is the purpose of a .gitignore file?,simple
Draft a short professional email thanking a client for their meeting.,simple
What does B2B stand for?,simple
Write a one-sentence product tagline for a coffee brand.,simple
Create a 5-bullet to-do list for preparing a job interview.,simple
What is a SWOT analysis?,simple
Write a subject line for a follow-up email after a sales call.,simple
"Convert this data into a simple two-column table: Name: Alice, Age: 30; Name: Bob, Age: 25.",simple
What is the difference between gross revenue and net revenue?,simple
Write a brief out-of-office auto-reply message.,simple
Summarize this sentence in simpler words: 'We endeavor to synergize cross-functional paradigms.',simple
List 5 synonyms for the word 'innovative'.,simple
What is the purpose of a press release?,simple
Write a short caption for a LinkedIn post about hitting a sales target.,simple
What does ROI stand for?,simple
"Format this raw data into a bullet-point summary: Sales Q1: 12000, Q2: 15000, Q3: 9000.",simple
Write a polite email declining a vendor's proposal.,simple
What is the standard structure of a business memo?,simple
Explain what a noun is.,simple
What is the capital of Japan?,simple
Translate 'I would like a glass of water' into Italian.,simple
What is 15% of 200?,simple
"Summarize this paragraph in one sentence: 'The water cycle describes how water evaporates from the surface of the earth, rises into the atmosphere, cools and condenses into rain or snow, and falls back to the surface as precipitation.'",simple
What is the past tense of 'run'?,simple
What does the word 'photosynthesis' mean?,simple
List three examples of renewable energy sources.,simple
What is the difference between a simile and a metaphor?,simple
Give me 5 vocabulary words related to the ocean.,simple
Explain what a fraction is as if I'm in grade school.,simple
What is the quadratic formula?,simple
Translate this sentence to German: 'The train arrives at 9 AM.',simple
What is the main theme of Shakespeare's Romeo and Juliet?,simple
"Format this reference in APA style: Author: John Smith, Year: 2020, Title: AI Trends, Journal: Tech Review, Volume 5, Pages 12-25.",simple
What is Newton's first law of motion?,simple
Define the term 'opportunity cost' in economics.,simple
Give me a fun rhyming word that goes with 'cat'.,simple
"Suggest a short, catchy name for a travel podcast.",simple
Write a one-sentence story about a dragon who loves pizza.,simple
List 5 possible names for a bakery.,simple
Write a short haiku about the ocean.,simple
Suggest a fun birthday party theme for a 7-year-old.,simple
Give me a quirky tagline for a bookstore.,simple
Write a two-line joke about a programmer.,simple
What's a good name for a fictional wizard character?,simple
List 3 creative plot twists for a detective story.,simple
Write a short poem (4 lines) about autumn.,simple
Give me 5 creative team names for a pub quiz night.,simple
Suggest a fun opening line for a fantasy novel.,simple
List 5 unique names for a sci-fi spaceship.,simple
Write a silly limerick about a cat who hates Mondays.,simple
What are three possible titles for a thriller novel set in Paris?,simple
Suggest a funny bio for a fictional social media influencer who is a sloth.,simple
What's a good snack to make with peanut butter and bread?,simple
Suggest a quick 10-minute morning stretch routine.,simple
What fruits go well together in a smoothie?,simple
"Give me a simple recipe using chicken, rice, and broccoli.",simple
What should I pack for a 3-day beach trip?,simple
Give me a one-week beginner workout plan.,simple
What time zone is New York in?,simple
Suggest a relaxing evening routine for better sleep.,simple
List 5 healthy breakfast options that take under 5 minutes.,simple
What's the best way to store leftover pasta?,simple
Give me a simple grocery list for a week of vegetarian meals.,simple
Suggest a good book genre for someone who likes mystery and history.,simple
What are some easy ways to drink more water throughout the day?,simple
What's a good gift for someone who loves cooking?,simple
Give me a 30-minute beginner running plan.,simple
Suggest 3 low-budget date night ideas.,simple
What vegetables can I roast together in the oven?,simple
What is your return policy?,simple
How do I reset my password?,simple
Write a one-sentence apology response to a customer who received the wrong item.,simple
What does 'processing' mean in terms of an order status?,simple
Draft a brief thank-you message to a customer who left a 5-star review.,simple
"A customer asked: 'Do you ship internationally?' — write a short, friendly reply saying yes.",simple
Write a polite response to a customer asking for store hours.,simple
What is a common FAQ question for an e-commerce site?,simple
Draft a 1-sentence message confirming a customer's refund has been processed.,simple
A customer says 'I can't log in.' Write a single-step troubleshooting reply.,simple
Write a short holding response to a customer while their issue is being reviewed.,simple
Draft a friendly message informing a customer their order has shipped.,simple
What's a polite way to tell a customer a product is out of stock?,simple
Write a one-line reply to a customer who asked if gift wrapping is available.,simple
Draft a short response to a 1-star review where the customer complained about slow shipping.,simple
"Design a microservices architecture for a real-time ride-sharing platform, covering service discovery, load balancing, inter-service communication protocols, and fault tolerance strategies.",complex
Refactor this O(n³) matrix multiplication algorithm in Python to use NumPy broadcasting and analyze the time and space complexity improvements.,complex
"Design a CI/CD pipeline for a monorepo containing 5 microservices using GitHub Actions, including parallel test execution, Docker layer caching, and staged canary deployments.",complex
"Architect a distributed event sourcing system using Kafka for an e-commerce platform, detailing the command/query responsibility segregation (CQRS) pattern and eventual consistency guarantees.",complex
"Write a Python metaclass that automatically instruments all methods in a class with logging, retry logic with exponential backoff, and execution time tracking.",complex
"Design a globally sharded PostgreSQL database schema for a multi-tenant SaaS application with row-level security, tenant isolation, and cross-shard query federation.",complex
"Build a Kubernetes custom operator in Go that manages the lifecycle of a stateful application, including leader election, graceful rolling upgrades, and automatic backups.",complex
"Implement a real-time anomaly detection pipeline using Apache Flink that processes 1 million events per second, applies sliding window aggregations, and routes alerts to PagerDuty.",complex
"Write a compiler pass in LLVM that performs dead code elimination and constant folding on an intermediate representation, with detailed explanation of the data flow analysis.",complex
"Design a zero-trust security architecture for a hybrid cloud environment, covering identity federation, micro-segmentation, mutual TLS between services, and secrets management.",complex
"Architect a WebRTC-based video conferencing system that supports 500 concurrent participants with SFU media routing, adaptive bitrate streaming, and sub-200ms latency.",complex
Implement a distributed rate limiter using Redis Lua scripts that enforces per-user and per-IP limits across 50 geographically distributed API gateway nodes.,complex
"Write a PySpark job that reads 2TB of raw clickstream data from S3, performs sessionization, computes funnel conversion rates by cohort, and outputs partitioned Parquet files.",complex
"Design a blue-green deployment strategy for a stateful application on AWS ECS, including database migration rollback procedures and traffic splitting via weighted Route 53 records.",complex
Build a recommendation engine using collaborative filtering and matrix factorization that handles cold-start problems for new users in a music streaming app.,complex
"Implement a custom distributed tracing solution from scratch that propagates context across HTTP, gRPC, and message queue boundaries without using OpenTelemetry.",complex
"Architect a multi-region active-active database setup using CockroachDB, detailing conflict resolution, clock skew handling, and geo-partitioned table design.",complex
"Develop a comprehensive go-to-market strategy for launching a B2B SaaS product in the European market, including competitive positioning, pricing tiers, channel partnerships, and a 12-month revenue forecast model.",complex
"Analyze the structural drivers and lagging indicators of a potential economic recession, and design a hedging strategy for a mid-sized manufacturing company with $50M in annual revenue.",complex
"Design an end-to-end data analytics pipeline that ingests unstructured customer support tickets, uses NLP to extract sentiment and topic clusters, and generates executive KPI dashboards.",complex
"Build a dynamic pricing model for an airline that balances seat revenue maximization with load factor constraints, using price elasticity data and competitive fare benchmarks.",complex
"Develop a mergers and acquisitions due diligence checklist for a tech startup acquisition, covering IP ownership, technical debt assessment, key-person dependencies, and regulatory compliance.",complex
